X,Y,NAME,ADDRESS,ZIPCODE,PHONE,NUMROOMS,WEB_URL,XCOORD,YCOORD,GIS_ID,MAR_ID,SE_ANNO_CAD_DATA,CREATED,EDITED,GLOBALID,OBJECTID
-8574583.42380329,4717672.12230263,MOTEL 6 WASHINGTON DC,6711 GEORGIA AVENUE NW,20012,202-722-1600,72,https://www.motel6.com/en/motels.dc.washington.4063.html?ncr=true,397678.38,144905.56,temp_62,285354,,,,{1142D291-C226-42A4-84E6-B252646D5A51},1
-8581050.12166392,4716054.30850869,EMBASSY SUITES BY HILTON WASHINGTON DC CHEVY CHASE PAVILION,4300 MILITARY ROAD NW,20015,202-362-9300,198,http://www.embassysuitesdcmetro.com/,392643.24,143654.27,temp_37,301908,,,,{0BE95693-60CB-406A-A816-51AD06DC2E08},2
-8575540.46751526,4715432.4959192,INTERNATIONAL GUEST HOUSE,1441 KENNEDY STREET NW,20011,202-726-5808,12,https://igh-dc.com/,396932.7,143169.27,temp_53,255891,,,,{63CEFF8E-6AB7-4886-A1D2-3F8A476BB422},3
-8578904.3360595,4714076.46902836,DAYS INN BY WYNDHAM WASHINGTON DC/CONNECTICUT AVENUE,4400 CONNECTICUT AVENUE NW,20008,202-244-5600,155,http://www.dcdaysinn.com/,394312.78,142119.11,temp_29,222132,,,,{4CBB73B8-C6F9-4FF9-BF56-11196E23925B},4
-8574762.83766631,4711638.71005815,ASANTE SANA INN,1207 KENYON STREET NW,20010,202-570-1281,6,,397537.26,140226.6,temp_6,231121,,,,{434825F8-89DB-42FA-A891-E5899A320F90},5
-8577782.59903509,4711386.72047161,THE KALORAMA GUEST HOUSE,2700 CATHEDRAL AVENUE NW,20008,202-588-8188,11,http://kaloramaguesthouse.com/,395185.03,140032.2,temp_91,284453,,,,{98A100F1-477F-4685-AA99-8A4777D121C4},6
-8583036.84194258,4711183.64738197,LUXBNB,5185 MACARTHUR BOULEVARD NW,20016,202-341-8799,,https://www.luxbnb.com/,391092.19,139878.21,temp_151,275285,,,,{8E13FABB-3C6F-4682-8D2C-296165ADD81A},7
-8577582.79889452,4711059.54150811,WOODLEY PARK GUEST HOUSE,2647 WOODLEY ROAD NW,20008,202-667-0218,15,http://www.dcinns.com/woodley.html,395340.51,139778.29,temp_132,219986,,,,{197865A7-6851-4CDC-8398-BE9CC438599A},8
-8577690.08858629,4710894.66537117,WASHINGTON MARRIOTT WARDMAN PARK,2660 WOODLEY ROAD NW,20008,202-328-2000,1300,http://www.marriott.com/hotels/travel/wasdt-washington-marriott-wardman-park/,395256.86,139650.43,temp_127,284450,,,,{207690BE-6EE9-4E63-8C74-BE305C863AB8},9
-8576231.71511286,4710869.06497749,ADAM'S INN,1746 LANIER PLACE NW,20009,202-745-3600,26,http://adamsinn.com/,396392.87,139629.97,temp_2,307146,,,,{680D04F3-C690-4FB1-B2C1-D7FE9A395B05},10
-8579700.06261153,4710693.05175542,KIMPTON GLOVER PARK HOTEL,2505 WISCONSIN AVENUE NW,20007,202-337-9700,150,https://www.gloverparkhotel.com,393691.04,139495.11,temp_78,301508,,,,{02808839-88B9-4D2D-B373-42F47B3E1477},11
-8576243.34605278,4710615.41509619,THE LINE DC,1770 EUCLID STREET NW,20009,202-588-0525,,https://www.thelinehotel.com/dc/,396383.72,139433.19,temp_143,235625,,,,{EA7056C1-F5A7-4172-A1E0-95C702252579},12
-8577574.94005963,4710595.51117624,OMNI SHOREHAM HOTEL,2500 CALVERT STREET NW,20008,202-234-0700,832,https://www.omnihotels.com/hotels/washington-dc-shoreham,395346.42,139418.29,temp_64,277165,,,,{98E9A64D-20C2-46AE-A694-B4DED8E4C499},13
-8576308.66021367,4710277.97956129,HIGHROAD HOSTE,1804 BELMONT ROAD NW,20009,202-735-3622,,http://highroadhostels.com/,396332.72,139171.42,temp_160,235426,,,,{7945147B-CAC0-447E-BF29-B7B6193D5F27},14
-8577005.48921802,4709955.34274495,WINDSOR PARK HOTEL,2116 KALORAMA ROAD NW,20008,202-483-7700,43,http://www.windsorparkhotel.com/,395789.75,138921.37,temp_131,234981,,,,{CBC65A5E-74AD-4387-B643-A0FB1B3A9F69},15
-8568328.19602156,4709930.37632468,DAYS INN BY WYNDHAM WASHINGTON DC/GATEWAY,2700 NEW YORK AVENUE NE,20002,202-832-5800,195,https://www.wyndhamhotels.com/days-inn/washington-district-of-columbia/days-inn-washington-dc-gateway/overview,402549.67,138901.29,temp_30,287175,,,,{4ACC04D6-A4E0-4D0B-8480-DC502E66CBAD},16
-8576715.38080132,4709892.49341421,AMERICAN GUEST HOUSE,2005 COLUMBIA ROAD NW,20009,202-588-1180,12,http://www.americanguesthouse.com/,396015.73,138872.49,temp_5,235122,,,,{7BF4C1B3-BB38-4FBE-A975-B71FD9247A7B},17
-8569371.48883321,4709851.39446334,QUALITY INN  & SUITES NEW YORK AVE,1600 NEW YORK AVENUE NE,20002,202-832-3200,134,https://www.choicehotels.com/district-of-columbia/washington/quality-inn-hotels/dc012,401736.92,138839.79,temp_21,60554,,,,{AAFD8E51-6E10-4AD4-8AF8-FFBBA411E3DC},18
-8576892.69605187,4709832.09625495,THE NORMANDY HOTEL,2118 WYOMING AVENUE NW,20008,202-483-1350,75,http://www.thenormandydc.com/,395877.57,138825.7,temp_95,235029,,,,{224BE920-757B-4743-9662-F5E8D98770AF},19
-8568427.17673667,4709766.87687645,"FAIRFIELD INN & SUITES WASHINGTON, DC/NEW YORK AVENUE",2305 NEW YORK AVENUE NE,20002,202-266-3000,126,http://www.marriott.com/hotels/travel/wasna-fairfield-inn-and-suites-washington-dc-new-york-avenue/,402472.6,138774.41,temp_41,307042,,,,{C234A095-4423-40AB-A272-B0539582A1A8},20
-8569427.10616341,4709741.23509367,IVY CITY HOTEL,1615 NEW YORK AVENUE NE,20002,202-529-3900,58,https://www.ivycityhotel.com/,401693.61,138754.31,temp_11,286348,,,,{1AAB7442-BA43-4D1B-A639-51ACBFB33EB3},21
-8576636.78574022,4709713.92293679,WASHINGTON HILTON,1919 CONNECTICUT AVENUE NW,20009,202-483-3000,1070,http://www3.hilton.com/en/hotels/district-of-columbia/washington-hilton-DCAWHHH/index.html,396076.89,138733.91,temp_106,242829,,,,{92FD24C7-776D-4115-B83F-7FF1205B9930},22
-8576828.66591831,4709701.06606506,THE CHURCHILL HOTEL NEAR EMBASSY ROW,1914 CONNECTICUT AVENUE NW,20009,202-797-2000,173,http://www.thechurchillhotel.com/,395927.4,138724.01,temp_19,235060,,,,{A23B6339-EF86-4D69-9A92-A4EB7268226F},23
-8573497.61911557,4709658.80462221,THE BIRDHOUSE BED AND BREAKFAST,327 T STREET NW,20001,202-770-7059,7,https://www.birdhousebnb.com/index.htm,398522.46,138690.31,temp_145,229780,,,,{03604A89-2C1D-49FD-9700-F13159395D65},24
-8576818.87240113,4709651.66981462,"COURTYARD WASHINGTON, DC/DUPONT CIRCLE",1900 CONNECTICUT AVENUE NW,20009,202-332-9300,147,http://www.marriott.com/hotels/travel/wasnw-courtyard-washington-dc-dupont-circle/,395935.01,138685.68,temp_24,235054,,,,{2D81B3D8-1FCE-4D25-A3AF-DB907B9F9B1C},25
-8573259.46394982,4709606.94502772,LEDROIT PARK BED AND BREAKFEAST,210 T STREET NW,20001,202-277-7847,2,http://www.ledroitparkrenaissancebedandbreakfast.com/,398707.99,138650.04,temp_56,229977,,,,{8CD3F771-CD06-411D-A85F-583DC1405BDC},26
-8579146.66222031,4709570.19112401,GEORGETOWN HILL INN,1832 WISCONSIN AVENUE NW,20007,202-298-6021,8,http://www.georgetownhillinn.com/,394121.48,138623.6,temp_45,274540,,,,{BEBAD762-E2EF-47FF-916B-F2D991D07FC8},27
-8575713.84122657,4709545.47684107,WINDSOR INN,1842 16TH STREET NW,20009,202-667-0300,58,http://www.windsor-inn-hotel-dc.com/,396795.86,138602.89,temp_130,241907,,,,{E372DA81-9BFA-4CEB-9AAE-11B124EB5491},28
-8575973.72316726,4709441.2828801,SWANN HOUSE LLC,1808 NEW HAMPSHIRE AVENUE NW,20009,202-265-4414,12,http://swannhouse.com/,396593.36,138522.13,temp_81,241551,,,,{3E89ED31-A23B-4A53-86D6-3ED441BB234F},29
-8575994.94258602,4709266.92464414,KIMPTON CARLYLE HOTEL,1731 NEW HAMPSHIRE AVENUE NW,20009,202-234-3200,170,https://www.carlylehoteldc.com/boutique-hotels-washington-dc/,396576.77,138386.85,temp_18,241652,,,,{7878B550-BC90-4069-B5F9-EA1D0686FD10},30
-8576766.99819555,4709213.07531521,IVY MANSION B&B AT DUPONT CIRCLE,1705 21ST STREET NW,20009,202-302-0242,,http://theivymansion.com/,395975.25,138345.35,temp_167,277124,,,,{D60DA30F-1CF6-4FA3-B5AD-36115B7DA69B},31
-8577145.73081202,4709135.93479617,EMBASSY CIRCLE GUEST HOUSE,2224 R STREET NW,20008,202-232-7744,11,http://www.dcinns.com/embassy.html,395680.15,138285.65,temp_35,234892,,,,{4EBA4752-84CB-4C9F-8C54-9A61A92A082E},32
-8571111.95446555,4709121.69327582,HOWARD JOHNSON BY WYNDHAM WASHINGTON DC,600 NEW YORK AVENUE NE,20002,202-546-9200,53,https://www.wyndhamhotels.com/hojo/washington-district-of-columbia/howard-johnson-express-inn-washington-dc/overview,400381.05,138273.43,temp_122,288753,,,,{2AACC7BF-1964-42DA-B723-AEED8BA9841A},33
-8575614.11419406,4709108.36951525,THE EMBASSY INN HOTEL,1627 16TH STREET NW,20009,202-234-7800,39,https://embassy-inn-hotel-dc.com/,396873.42,138263.7,temp_87,242291,,,,{37D9D8AE-972B-47FD-AF07-977BDB134BB4},34
-8579981.3970661,4709104.34214434,GEORGETOWN UNIVERSITY HOTEL & CONFERENCE CENTER,3800 RESERVOIR ROAD NW,20007,202-687-3200,146,http://www.acc-guhotelandconferencecenter.com/,393470.87,138262.65,temp_48,291547,,,,{BECF906B-400C-4EBD-A544-B7C42850E2AB},35
-8571234.56785601,4708981.72715525,HOMEWOOD SUITES WASHINGTON DC NOMA UNION STATION,501 NEW YORK AVENUE NE,20002,202-393-8001,,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-noma-union-station-DCANEHW/index.html,400267.79,138159.12,temp_159,288413,,,,{B13E7DA7-DE7F-4CF5-A01A-0D8C6BC30F48},36
-8571257.33256254,4708974.38076569,HAMPTON INN WASHINGTON DC NOMA UNION STATION,501 NEW YORK AVENUE NE,20002,202-393-1001,,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-noma-union-station-DCANYHX/index.html,400267.79,138159.12,temp_133,288413,,,,{7E01CA8B-37C8-4A00-A20D-6C79BFD2DBE9},37
-8576687.24581699,4708892.79350645,THE EMBASSY ROW HOTEL,2015 MASSACHUSETTS AVENUE NW,20036,202-265-1600,231,http://www.embassyrowhotel.com/,396037.26,138096.8,temp_36,225934,,,,{29C3D41F-943C-46D1-BB6C-6C8A73D383E4},38
-8576835.5633656,4708859.17193543,THE FAIRFAX AT EMBASSY ROW,2100 MASSACHUSETTS AVENUE NW,20008,202-293-2100,259,https://fairfaxwashingtondc.com,395921.69,138070.77,temp_88,225940,,,,{71DAF82A-2602-4DAB-895C-F9377D280795},39
-8576398.09327416,4708856.36022381,THE DUPONT CIRCLE HOTEL,1500 NEW HAMPSHIRE AVENUE NW,20036,202-483-6000,327,http://www.doylecollection.com/locations/washington_dc_hotels/the_dupont_circle_hotel.aspx,396262.53,138068.42,temp_85,225560,,,,{F115C58A-64D9-4532-A2A7-E0D29284DFEC},40
-8576997.56511245,4708831.39187177,THE BARON HOTEL,1523 22ND STREET NW,20037,202-293-1887,53,http://www.thebaronhotel.com/,395795.46,138049.28,temp_83,225698,,,,{BE229AFB-AAFA-48BE-9CBC-78BF655CF1B1},41
-8571367.05121092,4708813.35538363,MOTEL 6 WASHINGTON DC - CONVENTION CENTER,1345 4TH STREET NE,20002,202-544-2000,33,https://www.motel6.com/en/motels.dc.washington.4481.html?ncr=true,400182.31,138034.17,temp_63,66534,,,,{B15127F3-1ADB-4105-BE10-4BD7AA7D9824},42
-8576879.04970258,4708762.42991247,KIMPTON HOTEL PALOMAR WASHINGTON DC,2121 P STREET NW,20037,202-448-1800,335,http://www.hotelpalomar-dc.com/,395887.77,137995.72,temp_119,225942,,,,{C6FA902F-4587-4ADE-855C-4E0BF3EC67A7},43
-8576868.86750569,4708704.72617247,"RESIDENCE INN WASHINGTON, DC/DUPONT CIRCLE",2120 P STREET NW,20037,202-466-6800,107,http://www.marriott.com/hotels/travel/wasri-residence-inn-washington-dc-dupont-circle/,395895.68,137950.94,temp_71,279547,,,,{0BF18491-8F93-4406-AE52-F8A5C16D8177},44
-8577762.92578531,4708678.88508673,THE AVERY GEORGETOWN,2616 P STREET NW,20007,202-827-4390,,https://www.averygeorgetown.com/,395199.08,137931.28,temp_162,272383,,,,{7AB6399C-509D-47EA-BBC3-CAAD4890041A},45
-8574241.31068361,4708609.82096345,"CAMBRIA HOTEL WASHINGTON, DC CONVENTION CENTER",899 O STREET NW,20001,202-299-1188,,https://www.cambriadc.com/en-us,397942.87,137876.5,temp_150,310640,,,,{523B5C18-2F3B-4CB7-BCDE-684BA6F741AF},46
-8575122.30028461,4708580.44087829,BED AND BREAKFAST DC,1339 14TH STREET NW,20005,202-328-3510,,https://www.bedandbreakfastdc.com,397256.45,137853.91,temp_146,229780,,,,{B46B43B4-E3B0-45CA-B905-5211BC37BEA1},47
-8576713.41552746,4708557.85420046,THE MANSION ON O STREET,2020 O STREET NW,20036,202-496-2000,49,http://omansion.com/lodging,396016.74,137836.91,temp_93,243057,,,,{3B5D37DE-374D-4E9C-9857-676FDC604938},48
-8574578.10086351,4708547.74081505,DC LOFTY HOSTEL,1333 11TH STREET NW,20001,202-506-7106,,http://dclofty.com/,397680.45,137828.4,temp_31,239320,,,,{56D11201-FE3F-4F29-B9F2-B94C8481A8B4},49
-8575623.0421467,4708541.09059757,KIMPTON ROUGE HOTEL,1315 16TH STREET NW,20036,202-232-8000,137,http://www.rougehotel.com/,396866.29,137823.52,temp_120,242317,,,,{4AB29100-8457-4BC6-B50C-9FA31012FAB8},50
-8575493.98185759,4708519.58114929,HOLIDAY INN WASHINGTON DC-CENTRAL/WHITE HOUSE,1501 RHODE ISLAND AVENUE NW,20005,202-483-2000,212,http://www.inndc.com/,396966.84,137806.79,temp_110,242311,,,,{48811EEB-73D6-42C5-B8D3-7CDE9B212547},51
-8575275.1502743,4708514.54684131,KIMPTON MASON & ROOK HOTEL,1430 RHODE ISLAND AVENUE NW,20005,202-742-3100,178,https://www.masonandrookhotel.com/,397137.34,137802.82,temp_115,279165,,,,{12B658A4-BB3E-4E03-BFA0-0F431EA9865E},52
-8575301.3279618,4708501.13487211,THE DISTRICT HOTEL,1440 RHODE ISLAND AVENUE NW,20005,202-232-7800,58,http://dcembassyinn.wixsite.com/district,397116.94,137792.42,temp_32,218282,,,,{085A0BD9-E6EF-49B6-9C15-0A84B45F1725},53
-8575553.7040583,4708493.8098692,THE DARCY HOTEL,1515 RHODE ISLAND AVENUE NW,20005,202-232-7000,226,https://www.thedarcyhotel.com/,396920.3,137786.81,temp_34,242312,,,,{522B68A3-9693-417B-94CE-07781A10DEEA},54
-8571953.22490255,4708473.87936154,"COURTYARD WASHINGTON, DC/U.S. CAPITOL",1325 2ND STREET NE,20002,202-898-4000,218,http://www.marriott.com/hotels/travel/wasus-courtyard-washington-dc-us-capitol/,399725.6,137770.75,temp_27,304846,,,,{C7ADF6DF-A2DA-47E8-B35C-BC145C25C3EC},55
-8576465.07286464,4708466.13125552,INN AT DUPONT SOUTH,1312 19TH STREET NW,20036,202-359-8432,8,http://www.thedupontcollection.com,396210.2,137765.64,temp_52,241066,,,,{F69DDD06-025B-4E9D-99C3-D93B9C6A786B},56
-8576694.34099392,4708450.48975875,KIMPTON HOTEL MADERA,1310 NEW HAMPSHIRE AVENUE NW,20036,202-296-7600,82,http://www.hotelmadera.com/,396031.56,137753.59,temp_117,243325,,,,{3CFBC419-0C25-4603-8CC7-05020384B5CF},57
-8572456.51526313,4708438.25572798,HYATT PLACE WASHINGTON DC/US CAPITOL,33 NEW YORK AVENUE NE,20002,202-289-5599,200,https://washingtondcuscapitol.place.hyatt.com/en/hotel/home.html,399333.46,137743.13,temp_156,37070,,,,{F0625992-6010-42DD-9ACF-45CB6BC95B24},58
-8576052.82283672,4708424.97990748,TABARD INN,1739 N STREET NW,20036,202-785-1277,40,http://www.tabardinn.com/,396531.39,137733.56,temp_82,218468,,,,{D9AFB04B-9EB7-4154-984F-3FCA0CD869EB},59
-8576021.42752438,4708419.9162524,KIMPTON TOPAZ HOTEL,1733 N STREET NW,20036,202-393-3000,99,http://www.topazhotel.com/,396555.85,137729.62,temp_99,241760,,,,{D91A2871-852B-4A97-9005-6405566D0125},60
-8578676.80611843,4708389.37400888,GEORGETOWN INN,1310 WISCONSIN AVENUE NW,20007,202-333-8900,96,http://www.georgetowninn.com/,394486.89,137707.09,temp_46,279035,,,,{DD0E3E60-C410-4A13-98F1-7467C5960254},61
-8575836.71758762,4708366.97891328,BEACON HOTEL AND CORPORATE QUARTERS,1615 RHODE ISLAND AVENUE NW,20036,202-296-2100,60,http://www.beaconhotelwdc.com/,396699.75,137688.48,temp_8,279263,,,,{9D14F921-1303-4CC3-B63C-8E0743A9A810},62
-8577105.27986544,4708338.40418009,THE DISTRICT BY HILTON CLUB,1250 22ND STREET NW,20037,202-449-3100,318,http://www3.hilton.com/en/hotels/district-of-columbia/the-district-by-hilton-club-WASVCGV/index.html,395711.33,137666.78,temp_39,242364,,,,{AA49D678-1FFF-49FA-B70F-D1F4A9DF319B},63
-8575339.44212585,4708313.72062342,"HOMEWOOD SUITES WASHINGTON, D.C. DOWNTOWN",1475 MASSACHUSETTS AVENUE NW,20005,202-265-8000,175,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-downtown-WASHWHW/index.html,397087.19,137647,temp_111,279197,,,,{7E38CA73-82FC-4569-8D7E-B90CA9E82FEB},64
-8575716.68103455,4708312.22112804,COURTYARD WASHINGTON EMBASSY ROW,1600 RHODE ISLAND AVENUE NW,20036,202-293-8000,158,http://www.marriott.com/hotels/travel/wasem-courtyard-washington-embassy-row/,396793.26,137645.95,temp_25,242882,,,,{D6986656-E280-4BB1-8AD1-166300325734},65
-8574576.8173391,4708283.52237146,DUO HOUSING HOSTEL,1223 11TH STREET NW,20001,202-808-2195,,http://duohousing.com/,397681.39,137623.37,temp_165,239327,,,,{C7DC6F45-8FA7-48EF-AE88-1E0D59160671},66
-8576825.46923554,4708271.34836183,THE CONCORDIA,1250 NEW HAMPSHIRE AVENUE NW,20036,202-557-2000,121,http://www.theconcordia.com/,395929.32,137614.63,temp_84,279009,,,,{370BE2B9-598C-48AE-A663-95A126741134},67
-8572226.25336196,4708255.68021369,HILTON GARDEN INN WASHINGTON DC/U.S. CAPITOL,1225 1ST STREET NE,20002,202-408-4870,204,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-us-capitol-DCANMGI/index.html,399512.86,137601.44,temp_108,307284,,,,{52F8C669-0E2C-4C0F-B03D-E5C1B69A1AD6},68
-8575049.04484248,4708252.97287297,WASHINGTON PLAZA HOTEL,10 THOMAS CIRCLE NW,20005,202-842-1300,355,http://www.washingtonplazahotel.com/,397313.44,137599.78,temp_128,298252,,,,{11686F92-48BB-40C7-8188-24D7E88FC08B},69
-8576998.92706181,4708227.63608457,WASHINGTON MARRIOTT GEORGETOWN,1221 22ND STREET NW,20037,202-872-1500,470,http://www.marriott.com/hotels/travel/waswe-washington-marriott/,395794.15,137580.78,temp_126,300163,,,,{12270AC1-9724-4DF6-9BAF-D480D6823409},70
-8575714.94489673,4708208.04621338,"THE JEFFERSON, WASHINGTON, DC",1200 16TH STREET NW,20036,202-448-2300,96,http://www.jeffersondc.com/,396794.58,137565.11,temp_54,242021,,,,{82FB4315-1206-4796-B368-EF010292CE0D},71
-8576753.12655325,4708203.31835037,SAINT GREGORY,2033 M STREET NW,20036,202-530-3600,155,http://www.stgregoryhotelwdc.com/,395985.66,137561.81,temp_77,279520,,,,{BFD54571-FD54-43AF-91A7-86BA67EDEA92},72
-8574868.20711198,4708203.29058892,COMFORT INN DOWNTOWN DC/CONVENTION CENTER,1201 13TH STREET NW,20005,202-682-5300,100,https://www.dcdowntownhotel.com/,397454.33,137561.18,temp_22,240912,,,,{3C15ABA4-53C5-40A0-A14B-6DBC1BD986DA},73
-8571036.62425254,4708184.83336124,KELLOGG CONFERENCE HOTEL AT GALLAUDET UNIVERSITY,800 FLORIDA AVENUE NE,20002,202-651-6000,97,http://kelloggconferencehotel.com/index.php,400439.78,137546.46,temp_43,288964,,,,{6703DC44-83E2-4B90-80A1-DB6A189E0355},74
-8577292.11011185,4708178.08122728,PARK HYATT WASHINGTON,1201 24TH STREET NW,20037,202-789-1234,216,http://parkwashington.hyatt.com/en/hotel/home.html,395565.69,137542.45,temp_66,242765,,,,{1ACFC627-E85D-4D08-A02B-053218A2E020},75
-8577364.51882369,4708152.47338314,THE FAIRMONT,2401 M STREET NW,20037,202-429-2400,415,http://www.fairmont.com/washington/,395509.26,137522.61,temp_89,273950,,,,{96C6AB1A-48BF-4315-94B6-FF12C3F02233},76
-8576961.78181729,4708148.6483704,HYATT PLACE WASHINGTON DC/GEORGETOWN/WEST END,2121 M STREET NW,20037,202-838-2222,168,https://www.hyatt.com/en-US/hotel/washington-dc/hyatt-place-washington-dc-georgetown-west-end/waszm,395823.06,137519.47,temp_154,310698,,,,{C0ACC0FD-393E-4046-AA53-E8942AC3DB5A},77
-8577062.86164602,4708145.3984693,HILTON GARDEN INN WASHINGTON DC/GEORGETOWN AREA,2201 M STREET NW,20037,202-947-6010,,http://hiltongardeninn3.hilton.com/en/hotels/district-of-columbia/hilton-garden-inn-washington-dc-georgetown-area-WASWEGI/index.html,395744.3,137516.99,temp_149,243160,,,,{1F5CE6A1-B2C7-400F-9E40-251311B512F7},78
-8573421.74399174,4708140.85816327,MT. VERNON SQUARE BED & BREAKFAST,400 M STREET NW,20001,888-399-5496,5,http://mvsbed.com/,398581.36,137512.45,temp_169,237558,,,,{5DF0FDD4-D5D2-4449-98F9-A7E3EB160868},79
-8575392.58374341,4708126.65196043,"THE MADISON WASHINGTON DC, A HILTON HOTEL",1177 15TH STREET NW,20005,202-862-1600,365,http://www3.hilton.com/en/hotels/district-of-columbia/the-madison-washington-dc-a-hilton-hotel-DCAKEHH/accommodations/index.html,397045.73,137501.85,temp_57,240251,,,,{17B680FD-6CDA-4958-8B39-7CC8BA092E53},80
-8575323.13567406,4708119.04895184,"THE WESTIN WASHINGTON, D.C. CITY CENTER",1400 M STREET NW,20005,202-429-1700,406,http://www.starwoodhotels.com/westin/property/overview/index.html?propertyID=1761,397099.84,137495.93,temp_97,240254,,,,{858BE937-D3A2-4481-AFB7-7EA1DF02DE7E},81
-8575115.19950552,4708086.73965919,KIMPTON DONOVAN HOTEL,1155 14TH STREET NW,20005,202-737-1200,193,http://www.donovanhousehotel.com/,397261.85,137470.8,temp_33,242940,,,,{5DDF92AD-53CE-455B-B5C8-66EA0E9798E0},82
-8577288.87972231,4708069.82378201,"THE WESTIN GEORGETOWN, WASHINGTON D.C.",2350 M STREET NW,20037,202-429-0100,267,http://www.westingeorgetown.com/,395568.16,137458.44,temp_129,242338,,,,{6279977C-00E8-46E6-B9F2-30BE10019533},83
-8578271.43565206,4708043.61859851,THE GRAHAM GEORGETOWN,1075 THOMAS JEFFERSON STREET NW,20007,202-337-0900,57,https://www.thegrahamgeorgetown.com/,394802.56,137438.57,temp_90,273855,,,,{E4FD09BD-F9CB-4636-86FB-2FC3BA665658},84
-8576895.62735742,4708035.50165618,THE WINK WASHINGTON DC,1143 NEW HAMPSHIRE AVENUE NW,20037,202-775-0800,346,https://www.thewinkhoteldc.com/,395874.56,137431.64,temp_68,243210,,,,{E2D97D66-86BF-4192-9DC4-B30052D58D44},85
